                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.57725,                0.49415,                 1.0456,                0.89164,                0.75408,                0.83951,                0.64162,                0.86764,                0.75405,                 1.2448,             0.00042925,             0.00042925,             0.00042925
                     77,                0.58463,                 0.5377,                 1.0281,                0.90398,                0.75102,                0.84441,                0.64083,                0.85744,                0.73708,                 1.2337,             0.00041275,             0.00041275,             0.00041275
                     78,                0.55198,                0.47565,                 1.0159,                0.89055,                0.76156,                0.84625,                0.64281,                0.87059,                0.74832,                 1.2406,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.5564,                0.48153,                 1.0078,                0.86351,                0.77063,                0.84693,                0.63275,                0.85882,                0.76346,                 1.2366,             0.00037974,             0.00037974,             0.00037974
                     80,                0.53934,                0.46662,                0.99773,                0.85429,                0.76519,                 0.8462,                 0.6428,                0.85464,                0.75862,                  1.242,             0.00036324,             0.00036324,             0.00036324
                     81,                0.53884,                0.46325,                  1.021,                 0.8834,                0.76104,                0.84092,                0.64561,                0.85815,                0.73654,                 1.2384,             0.00034674,             0.00034674,             0.00034674
                     82,                0.53471,                0.46414,                0.99797,                0.89193,                 0.7663,                0.83144,                0.63133,                0.88435,                0.74996,                 1.2464,             0.00033023,             0.00033023,             0.00033023
                     83,                0.54043,                0.46922,                 1.0036,                0.90159,                0.76741,                 0.8305,                0.63857,                0.88091,                0.75226,                  1.245,             0.00031373,             0.00031373,             0.00031373
                     84,                0.54179,                0.47849,                0.99855,                0.90249,                0.77488,                0.84656,                0.64541,                0.86477,                0.75927,                 1.2361,             0.00029723,             0.00029723,             0.00029723
                     85,                0.53335,                0.47232,                 1.0053,                0.89799,                0.75711,                0.84321,                0.64747,                0.89384,                0.77066,                 1.2611,             0.00028072,             0.00028072,             0.00028072
                     86,                0.54516,                0.46941,                 1.0202,                0.86089,                0.79505,                0.84383,                0.64395,                0.88715,                0.73899,                 1.2713,             0.00026422,             0.00026422,             0.00026422
                     87,                0.52205,                0.45081,                0.99885,                0.83545,                0.81444,                0.83806,                0.63696,                0.88572,                 0.7197,                 1.2646,             0.00024772,             0.00024772,             0.00024772
                     88,                0.51801,                0.45135,                 1.0003,                0.84658,                0.79202,                0.83987,                0.64138,                0.87054,                0.71201,                  1.245,             0.00023121,             0.00023121,             0.00023121
                     89,                0.48836,                0.44419,                0.98102,                0.83876,                0.79324,                0.84664,                0.63317,                0.87288,                0.70412,                 1.2454,             0.00021471,             0.00021471,             0.00021471
                     90,                 0.5295,                0.45784,                0.99463,                0.87571,                0.76741,                  0.848,                0.64062,                0.86909,                 0.7202,                 1.2394,             0.00019821,             0.00019821,             0.00019821
                     91,                0.50753,                0.47436,                 0.9514,                0.89407,                0.75471,                0.84761,                0.64091,                0.88033,                0.74844,                   1.24,              0.0001817,              0.0001817,              0.0001817
                     92,                0.48029,                0.42009,                0.95346,                0.86958,                0.76262,                0.83557,                0.62947,                0.89335,                0.80191,                 1.2248,              0.0001652,              0.0001652,              0.0001652
                     93,                0.48203,                0.41634,                0.93537,                0.83713,                0.77795,                0.83783,                  0.641,                0.86741,                 0.7401,                 1.2259,              0.0001487,              0.0001487,              0.0001487
                     94,                0.48113,                0.40955,                0.94802,                0.81823,                0.81469,                0.84128,                0.64865,                 0.8552,                0.68222,                 1.2466,             0.00013219,             0.00013219,             0.00013219
                     95,                0.48242,                0.38384,                0.92646,                0.87064,                0.79454,                0.84618,                0.64951,                0.86301,                0.68592,                  1.246,             0.00011569,             0.00011569,             0.00011569
                     96,                0.47931,                0.39435,                0.93456,                0.85594,                0.78949,                0.84866,                0.63699,                0.86412,                 0.6882,                 1.2256,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.45658,                0.37761,                0.91671,                0.89149,                0.75622,                0.84733,                0.63677,                0.85606,                0.69101,                 1.2183,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.45274,                0.37468,                0.92274,                0.89941,                0.76143,                0.84494,                0.64589,                0.85434,                0.68831,                  1.225,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.43872,                0.36823,                 0.9178,                0.88425,                0.76963,                0.84769,                 0.6479,                0.84896,                0.68349,                 1.2226,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.45608,                0.38486,                0.92569,                0.88977,                0.78124,                0.85155,                0.65047,                0.84751,                0.68139,                 1.2249,             3.3173e-05,             3.3173e-05,             3.3173e-05
