                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.51494,                0.41441,                0.99727,                0.86333,                0.77488,                 0.8411,                 0.6297,                0.87218,                0.76198,                 1.2713,             0.00049527,             0.00049527,             0.00049527
                     73,                0.51583,                0.42016,                0.99483,                0.87035,                0.77688,                0.83751,                0.62555,                0.95439,                0.82016,                 1.3106,             0.00047876,             0.00047876,             0.00047876
                     74,                0.47571,                0.39021,                0.96647,                 0.8485,                0.77408,                0.84059,                0.62887,                0.94603,                0.83194,                 1.3191,             0.00046226,             0.00046226,             0.00046226
                     75,                0.49236,                0.40147,                0.98247,                0.81648,                 0.7974,                0.84086,                0.63185,                0.93196,                0.78428,                 1.3131,             0.00044576,             0.00044576,             0.00044576
                     76,                0.49482,                0.40042,                0.99149,                0.84186,                0.77559,                0.84204,                 0.6284,                0.92959,                0.78284,                 1.2984,             0.00042925,             0.00042925,             0.00042925
                     77,                0.50958,                0.42438,                0.98195,                0.83966,                0.79517,                 0.8397,                0.63086,                 0.9289,                 0.8069,                 1.3134,             0.00041275,             0.00041275,             0.00041275
                     78,                0.47372,                 0.3824,                0.97343,                0.82756,                 0.7954,                0.83618,                0.62058,                0.94343,                0.82646,                 1.3262,             0.00039625,             0.00039625,             0.00039625
                     79,                0.48295,                 0.3933,                0.96808,                0.85051,                0.75209,                0.82794,                0.62533,                0.94297,                0.81807,                 1.3228,             0.00037974,             0.00037974,             0.00037974
                     80,                0.46666,                0.37802,                0.95617,                 0.8416,                0.76368,                0.82968,                 0.6252,                0.91813,                0.83263,                 1.3101,             0.00036324,             0.00036324,             0.00036324
                     81,                0.46085,                0.37475,                0.97342,                0.84171,                0.77932,                0.83708,                0.62555,                0.91941,                0.82816,                 1.3249,             0.00034674,             0.00034674,             0.00034674
                     82,                0.46111,                0.37802,                0.95705,                0.88345,                0.74641,                0.83731,                0.62994,                0.93648,                0.83861,                 1.3116,             0.00033023,             0.00033023,             0.00033023
                     83,                0.47501,                0.38633,                0.96907,                0.89998,                0.74725,                0.83436,                0.63256,                0.92398,                0.81896,                 1.2979,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.4911,                0.38635,                0.96735,                0.86988,                0.77932,                0.83269,                0.62742,                0.91481,                0.81213,                 1.2846,             0.00029723,             0.00029723,             0.00029723
                     85,                0.47392,                0.38563,                0.96922,                0.89549,                0.73385,                0.82848,                0.63104,                0.92054,                0.81093,                  1.293,             0.00028072,             0.00028072,             0.00028072
                     86,                0.47219,                0.37747,                0.97902,                0.86304,                0.75059,                0.82843,                 0.6303,                0.90756,                0.80938,                 1.3011,             0.00026422,             0.00026422,             0.00026422
                     87,                0.46899,                0.37475,                0.96755,                0.88532,                0.74654,                0.82703,                0.63047,                0.92342,                0.79837,                 1.3254,             0.00024772,             0.00024772,             0.00024772
                     88,                 0.4511,                0.36519,                0.96743,                0.88858,                0.75123,                0.82682,                0.62271,                0.88862,                0.78289,                 1.2856,             0.00023121,             0.00023121,             0.00023121
                     89,                0.43415,                 0.3665,                0.95564,                0.90568,                 0.7539,                0.81699,                0.62254,                0.86965,                0.77803,                 1.2727,             0.00021471,             0.00021471,             0.00021471
                     90,                0.46929,                0.37871,                0.96487,                0.89397,                0.75249,                0.82285,                 0.6192,                0.87803,                0.77395,                 1.2757,             0.00019821,             0.00019821,             0.00019821
                     91,                0.44468,                0.38321,                0.91881,                0.87485,                0.75622,                0.82777,                0.63131,                0.88302,                0.78148,                 1.2821,              0.0001817,              0.0001817,              0.0001817
                     92,                0.41536,                0.32579,                0.92293,                0.84847,                0.77365,                0.82843,                 0.6311,                0.88271,                0.79785,                 1.2694,              0.0001652,              0.0001652,              0.0001652
                     93,                0.41309,                0.32599,                0.90224,                0.83203,                0.78773,                0.83255,                0.63204,                0.87861,                0.80493,                 1.2608,              0.0001487,              0.0001487,              0.0001487
                     94,                0.42192,                0.33362,                0.91767,                0.85581,                0.76306,                0.82423,                0.62901,                0.86991,                0.78516,                  1.258,             0.00013219,             0.00013219,             0.00013219
                     95,                 0.4169,                0.31369,                0.89476,                0.87574,                0.75471,                0.82142,                0.63176,                0.86666,                0.77179,                 1.2645,             0.00011569,             0.00011569,             0.00011569
                     96,                0.41729,                0.31576,                0.90313,                0.86952,                0.77039,                0.82474,                0.63357,                0.85818,                0.75202,                 1.2635,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.40342,                0.30403,                0.89281,                0.87814,                0.77807,                0.83515,                0.63007,                0.85883,                0.73915,                 1.2655,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.40526,                 0.3045,                0.90165,                0.88473,                0.77099,                0.83746,                0.63276,                 0.8586,                0.73472,                 1.2632,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.3897,                0.30639,                0.89698,                0.88771,                0.77906,                0.84059,                0.63492,                0.85697,                0.73266,                 1.2598,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.40419,                0.31077,                0.90752,                0.88371,                0.77921,                0.84276,                0.63885,                0.85449,                0.72714,                 1.2587,             3.3173e-05,             3.3173e-05,             3.3173e-05
